Hiloko Xikwembu xi languta swilo hinkwaswo leswi xi swi endleke	And God saw everything that he had made
kutani xi vona leswaku swilo leswi swi sasekile ngopfu	and behold
Kutani ku va madyambu	it was very good
ku tlhela ku va mixo	And there was evening and there was morning
ri va siku ra vu-6	the sixth day
Kutani HOSI Xikwembu xi endla ntanga le Edeni evuxeni	And the LORD God planted a garden in Eden
kutani xi teka munhu loyi xi n'wi vumbeke	in the east
xi ya n'wi veka kwale ntangeni	and there he put the man whom he had formed
Kutani HOSI Xikwembu xi endla leswaku misava yi mirisa mirhi ya tinxaka-xaka leyi kokaka mahlo ni leyi dyiwaka	And out of the ground the LORD God made to spring up every tree that is pleasant to the sight and good for food
Exikarhi ka ntanga a ku ri ni murhi lowu nyikaka vutomi	The tree of life was in the midst of the garden
ni murhi lowu nyikaka vutivi bya leswo biha ni leswo saseka	and the tree of the knowledge of good and evil
Vito ra nambu wo sungula i Pixoni	The name of the first is the Pishon
Nambu lowu hi wona wu khulukaka wu rhendzeleka ni tiko hinkwaro ra Havhila	It is the one that flowed around the whole land of Havilah
laha ku nga ni nsuku	where there is gold
Vito ra nambu wa vunharhu i Tigrisi	And the name of the third river is the Tigris
lowu khulukaka wu ta hi le vuxeni bya tiko ra Asiriya	which flows east of Assyria
Vito ra nambu wa vumune i Yufrata	And the fourth river is the Euphrates
kambe loko yi ri mihandzu ya murhi lowu nyikaka vutivi bya leswo biha ni leswo saseka	but of the tree of the knowledge of good and evil you shall not eat
u nga tshuki u yi dya	for in the day that you eat of it you shall surely die
Kutani HOSI Xikwembu xi ku	Then the LORD God said
A swi sasekanga loko munhu a tshama a ri yexe	It is not good that the man should be alone
ndzi ta n'wi endlela nakulobye loyi a n'wi fanelaka	I will make him a helper fit for him
Kutani wansati a ku ka nyoka	And the woman said to the serpent
Hi nga ha dya mihandzu ya mirhi hinkwayo leyi nga laha ntangeni	We may eat of the fruit of the trees in the garden
kambe Xikwembu xi te	but God said
‘Mi nga tshuki mi dya mihandzu ya murhi lowu nga xikarhi ka ntanga	'You shall not eat of the fruit of the tree that is in the midst of the garden
hambi ku ri ku yi khumba mi nga tshuki mi yi khumba	neither shall you touch it
hikuva mi nga fa	lest you die
’	'
Kutani nyoka yi ku ka wansati	But the serpent said to the woman
Ku fa kona mi nga ka mi nga fi	You will not surely die
Hiloko havambirhi va pfuleka mahlo	Then the eyes of both were opened
kutani va sungula ku vona leswaku a vo tshama ntsena	and they knew that they were naked
kutani va rhungelela matluka ya nkuwa va tiendlela swiambalo	And they sewed fig leaves together and made themselves loincloths
Hiloko HOSI Xikwembu xi vitana wanuna xi ku ka yena	But the LORD God called to the man and said to him
U kwihi xana	Where are you
Wanuna a ku	The man said
Wansati loyi u ndzi nyikeke yena leswaku ndzi tshama na yena	The woman whom you gave to be with me
hi yena a ndzi nyikeke mihandzu ya murhi wa kona	she gave me fruit of the tree
kutani mina ndzi lo dya	and I ate
Kutani HOSI Xikwembu xi ku ka wansati	Then the LORD God said to the woman
I mhaka muni leyi u yi endleke xana	What is this that you have done
Wansati a ku	The woman said
Mina ndzi lo kanganyisiwa hi nyoka	The serpent deceived me
kutani ndzi dya	and I ate
Adamu a thya nsati wa yena evito ra Evha	The man called his wife's name Eve
hikuva ú ve yena mana wa vanhu hinkwavo	because she was the mother of all living
Evha a tlhela a veleka n'wana wa mufana	And again
a nga Avele	she bore his brother Abel
Avele a a ri mufuwi wa tinyimpfu	Now Abel was a keeper of sheep
Kayini yena a a ri murimi	and Cain a worker of the ground
kambe a xi vulanga nchumu hi Kayini ni gandzelo ra yena	but for Cain and his offering he had no regard
Kutani Kayini a hlundzuka swinene	So Cain was very angry
a visingarisa ni xikandza	and his face fell
Kutani HOSI Xikwembu xi ku ka Kayini	The LORD said to Cain
Xana u hlundzukela yini xana	Why are you angry
Hikwalaho ka yini u visingarisa xikandza xana	and why has your face fallen
Xana loko wo endla leswinene	If you do well
u nge tsakeriwi xana	will you not be accepted
Loko u nga endli leswinene	And if you do not do well
xidyoho xi ta ku bvutamela enyangweni	sin is crouching at the door
xi navela ku ku bvanyangeta	Its desire is contrary to you
kambe u fanele ku xi hlula	but you must rule over it
Kutani HOSI Xikwembu xi vutisa Kayini xi ku	Then the LORD said to Cain
Makwenu Avele ú kwihi xana	Where is Abel your brother
Kayini a hlamula a ku	He said
A ndzi tivi	I do not know
xana mina ndzi murisi wa makwerhu xana	am I my brother's keeper
Kayini a ku ka HOSI Xikwembu	Cain said to the LORD
Ku biwa ka mina i kukulu	My punishment is greater than I can bear
Kutani Kayini a tiva nsati wa yena	Cain knew his wife
hiloko nsati wa yena a tika	and she conceived and bore Enoch
a veleka Enoko	When he built a city
kutani Kayini a aka muti	he called the name of the city after the name of his son
a wu thya vito ra n'wana wa yena Enoko	Enoch
Kutani Enoko a veleka Irada	To Enoch was born Irad
Irada a veleka Mehuyaele	and Irad fathered Mehujael
Mehuyaele a veleka Metuxaele	and Mehujael fathered Methushael
Metuxaele a veleka Lameke	and Methushael fathered Lamech
Kutani Ada a veleka Yabala	Adah bore Jabal
tata wa vafuwi lava tshamaka emintsongeni	he was the father of those who dwell in tents and have livestock
Makwavo wa Yabala a a ri Yubala	His brother's name was Jubal
tata wa hinkwavo lava chayaka switende ni tinanga	he was the father of all those who play the lyre and pipe
Sila a veleka Tubala-Kayini	Zillah also bore Tubal-cain
mufuri wa switirho hinkwaswo swa koporo ni swa nsimbhi	he was the forger of all instruments of bronze and iron
Makwavo wa xisati wa Tubala-Kayini a a ri Naama	The sister of Tubal-cain was Naamah
Kutani Adamu a tlhela a tiva nsati wa yena	And Adam knew his wife again
kutani nsati wa yena a veleka n'wana wa mufana	and she bore a son and called his name Seth
a n'wi thya vito ra Seta	for she said
hikuva a a ku	God has appointed for me another offspring instead of Abel
Xikwembu xi ndzi nyikile n'wana un'wana ku siva Avele loyi a dlayeke hi Kayini	for Cain killed him
Lowu i nongonoko wa va ka Adamu	This is the book of the generations of Adam
Loko Xikwembu xi tumbuluxa munhu	When God created man
xi n'wi endlile a fana na xona	he made him in the likeness of God
Loko Seta a ri ni malembe ya 105	When Seth had lived 105 years
a veleka Enosi	he fathered Enosh
Loko Enosi a ri ni malembe ya 90	When Enosh had lived 90 years
a veleka Kenani	he fathered Kenan
Loko Kenani a ri ni malembe ya 70	When Kenan had lived 70 years
a veleka Mahalalele	he fathered Mahalalel
Loko Mahalalele a ri ni malembe ya 65	When Mahalalel had lived 65 years
a veleka Yarede	he fathered Jared
Loko Yarede a ri ni malembe ya 162	When Jared had lived 162 years
a veleka Enoko	he fathered Enoch
Loko Enoko a ri ni malembe ya 65	When Enoch had lived 65 years
a veleka Metuxela	he fathered Methuselah
Malembe ya Enoko hinkwawo ma vile 365	Thus all the days of Enoch were 365 years
Enoko ú hanyile a ri ni xinakulobye na Xikwembu	Enoch walked with God
kutani a nyamalala	and he was not
hikuva Xikwembu a xi n'wi tekile	for God took him
Loko Metuxela a ri ni malembe ya 187	When Methuselah had lived 187 years
a veleka Lameke	he fathered Lamech
Loko Lameke a ri ni malembe ya 182	When Lamech had lived 182 years
a veleka n'wana wa mufana	he fathered a son
kutani a n'wi thya vito ra Nowa	and called his name Noah
hikuva a a ku	saying
N'wana loyi ú ta hi tiyisa	Out of the ground that the LORD has cursed
emintirhweni ya hina leyo karhata leyi hi vangeriweke yona hileswi misava yi rhuketeriweke hi HOSI	this one shall bring us relief from our work and from the painful toil of our hands
Endzhaku ka loko Nowa a ri ni malembe ya 500	After Noah was 500 years old
a veleka Xeme	Noah fathered Shem
na Hamu	Ham
na Yafeta	and Japheth
Kutani swivumbiwa swa le tilweni swi vona leswaku vanhwanyana lava va sasekile	the sons of God saw that the daughters of man were attractive
kutani swi tihlawulela vasati exikarhi ka vona	And they took as their wives any they chose
Kutani HOSI Xikwembu xi ku	Then the LORD said
Moya wa mina a wu nga ha tshami hilaha ku nga heriki eka munhu	My Spirit shall not abide in man forever
hikuva munhu ú tsanile	for he is flesh
kutani ú ta hanya ntsena malembe ya 120	his days shall be 120 years
Enkarhini wolowo	The Nephilim were on the earth in those days
ni le minkarhini leyi landzeleke	and also afterward
ku vile ni swihontlovila leswi velekiweke loko tintsumi ta le tilweni ti hlanganile ni vanhwanyana va laha misaveni	when the sons of God came in to the daughters of man and they bore children to them
Swihontlovila leswi	These were the mighty men who were of old
hi tona tinhenha ta khale to tiveka ngopfu	the men of renown
Kambe Nowa yena a a tsakeriwa hi HOSI Xikwembu	But Noah found favor in the eyes of the LORD
Leti i timhaka ta va ka Nowa	These are the generations of Noah
Nowa a a ri munhu wo lulama	Noah was a righteous man
loyi a a tsakisa Xikwembu ku tlula vanhu hinkwavo lava a va ri kona emisaveni	blameless in his generation
naswona a a ri ni xinakulobye ni Xikwembu	Noah walked with God
Ngalava yi fanele ku va ni mimpimo leyi	This is how you are to make it
150 m ku leha	the length of the ark 300 cubits
25 m ku anama	its breadth 50 cubits
ni 15 m ku ya ehenhla	and its height 30 cubits
Endla lwangu ra yona	Make a roof for the ark
u siya 50 cm exikarhi ka lwangu na khumbi	and finish it to a cubit above
u vekela ni rivanti hala tlhelo ka yona	and set the door of the ark in its side
ngalava ya kona u yi endla yi va ni tindlu ta le hansi	Make it with lower
ni ta le xikarhi	second
ni ta le henhla	and third decks
Sweswi ndzi lava ku rhumela ndhambi ya mati	For behold
yi ta herisa swivumbiwa hinkwaswo leswi hanyaka emisaveni	I will bring a flood of waters upon the earth to destroy all flesh in which is the breath of life under heaven
Swilo hinkwaswo leswi nga laha misaveni swi ta fa	Everything that is on the earth shall die
Exikarhi ka tinyanyana hinkwato	Of the birds according to their kinds
ni swiharhi hinkwaswo	and of the animals according to their kinds
ni swikokovi hinkwaswo	of every creeping thing of the ground
u ta nghena ni swimbirhi swa rixaka rin'wana ni rin'wana	according to its kind
leswaku na swona swi ta pona	two of every sort shall come in to you to keep them alive
U fanele ku teka ni swakudya hi tinxaka-xaka ta swona	Also take with you every sort of food that is eaten
u swi hlayisa	and store it up
swi ta dyiwa hi wena ni swivumbiwa leswin'wana	It shall serve as food for you and for them
Hiloko Nowa a endla swilo leswi hinkwaswo	Noah did this
hilaha Xikwembu xi n'wi leriseke hakona	he did all that God commanded him
Eka tinyanyana	and seven pairs of the birds of the heavens also
u ta pambula ta 14 exikarhi ka rixaka rin'wana na rin'wana	male and female
ta xinuna ta 7 ni ta xisati ta 7	to keep their offspring alive on the face of all the earth
Kutani Nowa a endla hinkwaswo leswi HOSI Xikwembu xi n'wi leriseke swona	And Noah did all that the LORD had commanded him
Exikarhi ka swiharhi leswi tengeke	Of clean animals
ni ka leswi nga tengangiki	and of animals that are not clean
ni ka tinyanyana	and of birds
ni ka swikokovi hinkwaswo	and of everything that creeps on the ground
Kutani ku na mpfula emisaveni ku ringana masiku ya 40 ni vusiku bya kona	And rain fell upon the earth forty days and forty nights
Nowa ú nghenile engalaveni a ri ni swivumbiwa swimbirhi-mbirhi	They went into the ark with Noah
exikarhi ka swivumbiwa hinkwaswo leswi hanyaka	two and two of all flesh in which there was the breath of life
Ndhambi ya mati yi va kona emisaveni ku ringana masiku ya 40	The flood continued forty days on the earth
mati ma ri karhi ma ndlandlamuka	The waters increased and bore up the ark
ma tlakula ngalava yi suka ehansi	and it rose high above the earth
Kutani mati ma ya ma ndlandlamuka swinene	The waters prevailed and increased greatly on the earth
ngalava yi kondza yi papama ehenhla ka wona	and the ark floated on the face of the waters
Loko mati ma ndlandlamukile hi matimba swinene	And the waters prevailed so mightily on the earth that all the high mountains under the whole heaven were covered
ma tlhela ma ti hundza hi 7	The waters prevailed above the mountains
5 m	covering them fifteen cubits deep
Kutani swivumbiwa hinkwaswo leswi hanyaka emisaveni swi fetetela	And all flesh died that moved on the earth
Ku file tinyanyana	birds
ni swifuwo	livestock
ni swiharhi	beasts
ni swihadyana hinkwaswo leswi tateke misava	all swarming creatures that swarm on the earth
ni vanhu hinkwavo	and all mankind
Mati ma ndlandlamukile ma ya ehenhla ku ringana masiku ya 150	And the waters prevailed on the earth 150 days
Kutani Xikwembu xi tsundzuka Nowa ni swiharhi hinkwaswo ni swifuwo hinkwaswo leswi a a ri na swona engalaveni	But God remembered Noah and all the beasts and all the livestock that were with him in the ark
hiloko xi hungisa moya emisaveni	And God made a wind blow over the earth
kutani mati ma sungula ku hunguteka	and the waters subsided
Mati ma ya emahlweni ma hunguteka	And the waters continued to abate until the tenth month
ku kondza ku fika n'hweti ya vukhume	in the tenth month
kutani hi siku ro sungula ra n'hweti ya vukhume	on the first day of the month
tinhlohlorhi ta tintshava ti sungula ku vonaka	the tops of the mountains were seen
a humesa wukuwuku	and sent forth a raven
kutani rona ri ya haha-haha ehandle mati ma kondza ma phya	It went to and fro until the waters were dried up from the earth
Hiloko a humesa tuva	Then he sent forth a dove from him
leswaku ri ya kamba loko mati ma phyile emisaveni	to see if the waters had subsided from the face of the ground
Nowa a tshama masiku ya 7	He waited another seven days
kutani a tlhela a humesa tuva engalaveni	and again he sent forth the dove out of the ark
Kutani Xikwembu xi ku ka Nowa	Then God said to Noah
Swiharhi hinkwaswo	Every beast
ni swikokovi hinkwaswo	every creeping thing
ni tinyanyana hinkwato	and every bird
ni swilo hinkwaswo leswi hanyaka emisaveni	everything that moves on the earth
swi huma engalaveni hi tinxaka ta swona	went out by families from the ark
Swilo hinkwaswo leswi hanyaka swi ta va swakudya swa n'wina	Every moving thing that lives shall be food for you
ndzi mi nyika swona hinkwaswo	And as I gave you the green plants
ku fana ni leswi ndzi mi nyikeke swimila swa rihlaza	I give you everything
Sweswi ndzi endla ntwanano na n'wina	Behold
ni vana va n'wina lava nga ta velekiwa	I establish my covenant with you and your offspring after you
Eku sunguleni	In the beginning
Xikwembu xi tumbuluxile tilo ni misava	God created the heavens and the earth
Kutani Xikwembu xi ku	And God said
A ku ve ni ku vonakala	Let there be light
Hiloko ku vonakala ku va kona	and there was light
Xikwembu xi vona leswaku ku vonakala ku sasekile	And God saw that the light was good
kutani xi hambanisa munyama ni ku vonakala	And God separated the light from the darkness
Kutani Xikwembu xi ku	And God said
Mati lama nga hansi ka tilo a ma hlengeletane endhawini yin'we	Let the waters under the heavens be gathered together into one place
kutani ku humelela ndhawu leyi omeke	and let the dry land appear
Hiloko swi va tano	And it was so
Xikwembu xi thya ndhawu leyi omeke xi ku i Misava	God called the dry land Earth
mati lama hlengeletaneke xi ku i Lwandle	and the waters that were gathered together he called Seas
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Misava yi mirisa swimila	The earth brought forth vegetation
swi nga leswi tswalaka mbewu ntsena hi tinxaka-xaka ta swona	plants yielding seed according to their own kinds
ni mirhi yo tswala mihandzu leyi nga ni mbewu ya yona endzeni	and trees bearing fruit in which is their seed
hi ku hambana-hambana ka yona	each according to its kind
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Kutani Xikwembu xi veka timboni etilweni leswaku ti ta voninga misava	And God set them in the expanse of the heavens to give light on the earth
ti va tona leti fumaka nhlekanhi ni vusiku	to rule over the day and over the night
ti hambanisa munyama ni ku vonakala	and to separate the light from the darkness
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Kutani Xikwembu xi ku	And God said
Ematini a ku ve ni swivumbiwa leswo tala leswi hanyaka	Let the waters swarm with swarms of living creatures
tinyanyana tona a ti hahe empfhukeni	and let birds fly above the earth across the expanse of the heavens
Xikwembu xi endla swiharhi ni swifuwo hi tinxaka-xaka ta swona	And God made the beasts of the earth according to their kinds and the livestock according to their kinds
xi endla ni swikokovi hinkwaswo hi ku hambana-hambana ka swona	and everything that creeps on the ground according to its kind
Kutani Xikwembu xi vona leswaku swilo leswi swi sasekile	And God saw that it was good
Hiloko Xikwembu xi languta swilo hinkwaswo leswi xi swi endleke	And God saw everything that he had made
kutani xi vona leswaku swilo leswi swi sasekile ngopfu	and behold
Kutani ku va madyambu	it was very good
ku tlhela ku va mixo	And there was evening and there was morning
ri va siku ra vu-6	the sixth day
Kutani HOSI Xikwembu xi endla ntanga le Edeni evuxeni	And the LORD God planted a garden in Eden
kutani xi teka munhu loyi xi n'wi vumbeke	in the east
xi ya n'wi veka kwale ntangeni	and there he put the man whom he had formed
Kutani HOSI Xikwembu xi endla leswaku misava yi mirisa mirhi ya tinxaka-xaka leyi kokaka mahlo ni leyi dyiwaka	And out of the ground the LORD God made to spring up every tree that is pleasant to the sight and good for food
Exikarhi ka ntanga a ku ri ni murhi lowu nyikaka vutomi	The tree of life was in the midst of the garden
ni murhi lowu nyikaka vutivi bya leswo biha ni leswo saseka	and the tree of the knowledge of good and evil
Vito ra nambu wo sungula i Pixoni	The name of the first is the Pishon
Nambu lowu hi wona wu khulukaka wu rhendzeleka ni tiko hinkwaro ra Havhila	It is the one that flowed around the whole land of Havilah
laha ku nga ni nsuku	where there is gold
Vito ra nambu wa vunharhu i Tigrisi	And the name of the third river is the Tigris
lowu khulukaka wu ta hi le vuxeni bya tiko ra Asiriya	which flows east of Assyria
Vito ra nambu wa vumune i Yufrata	And the fourth river is the Euphrates
kambe loko yi ri mihandzu ya murhi lowu nyikaka vutivi bya leswo biha ni leswo saseka	but of the tree of the knowledge of good and evil you shall not eat
u nga tshuki u yi dya	for in the day that you eat of it you shall surely die
Kutani HOSI Xikwembu xi ku	Then the LORD God said
A swi sasekanga loko munhu a tshama a ri yexe	It is not good that the man should be alone
ndzi ta n'wi endlela nakulobye loyi a n'wi fanelaka	I will make him a helper fit for him
Kutani wansati a ku ka nyoka	And the woman said to the serpent
Hi nga ha dya mihandzu ya mirhi hinkwayo leyi nga laha ntangeni	We may eat of the fruit of the trees in the garden
kambe Xikwembu xi te	but God said
‘Mi nga tshuki mi dya mihandzu ya murhi lowu nga xikarhi ka ntanga	'You shall not eat of the fruit of the tree that is in the midst of the garden
hambi ku ri ku yi khumba mi nga tshuki mi yi khumba	neither shall you touch it
hikuva mi nga fa	lest you die
Kutani nyoka yi ku ka wansati	But the serpent said to the woman
Ku fa kona mi nga ka mi nga fi	You will not surely die
Hiloko havambirhi va pfuleka mahlo	Then the eyes of both were opened
kutani va sungula ku vona leswaku a vo tshama ntsena	and they knew that they were naked
kutani va rhungelela matluka ya nkuwa va tiendlela swiambalo	And they sewed fig leaves together and made themselves loincloths
Hiloko HOSI Xikwembu xi vitana wanuna xi ku ka yena	But the LORD God called to the man and said to him
U kwihi xana	Where are you
Wanuna a ku	The man said
Wansati loyi u ndzi nyikeke yena leswaku ndzi tshama na yena	The woman whom you gave to be with me
hi yena a ndzi nyikeke mihandzu ya murhi wa kona	she gave me fruit of the tree
kutani mina ndzi lo dya	and I ate
Kutani HOSI Xikwembu xi ku ka wansati	Then the LORD God said to the woman
I mhaka muni leyi u yi endleke xana	What is this that you have done
Wansati a ku	The woman said
Mina ndzi lo kanganyisiwa hi nyoka	The serpent deceived me
kutani ndzi dya	and I ate
Adamu a thya nsati wa yena evito ra Evha	The man called his wife's name Eve
hikuva ú ve yena mana wa vanhu hinkwavo	because she was the mother of all living
Evha a tlhela a veleka n'wana wa mufana	And again
a nga Avele	she bore his brother Abel
Avele a a ri mufuwi wa tinyimpfu	Now Abel was a keeper of sheep
Kayini yena a a ri murimi	and Cain a worker of the ground
kambe a xi vulanga nchumu hi Kayini ni gandzelo ra yena	but for Cain and his offering he had no regard
Kutani Kayini a hlundzuka swinene	So Cain was very angry
a visingarisa ni xikandza	and his face fell
Kutani HOSI Xikwembu xi ku ka Kayini	The LORD said to Cain
Xana u hlundzukela yini xana	Why are you angry
Hikwalaho ka yini u visingarisa xikandza xana	and why has your face fallen
Xana loko wo endla leswinene	If you do well
u nge tsakeriwi xana	will you not be accepted
Loko u nga endli leswinene	And if you do not do well
xidyoho xi ta ku bvutamela enyangweni	sin is crouching at the door
xi navela ku ku bvanyangeta	Its desire is contrary to you
kambe u fanele ku xi hlula	but you must rule over it
Kutani HOSI Xikwembu xi vutisa Kayini xi ku	Then the LORD said to Cain
Makwenu Avele ú kwihi xana	Where is Abel your brother
Kayini a hlamula a ku	He said
A ndzi tivi	I do not know
xana mina ndzi murisi wa makwerhu xana	am I my brother's keeper
Kayini a ku ka HOSI Xikwembu	Cain said to the LORD
Ku biwa ka mina i kukulu	My punishment is greater than I can bear
Kutani Kayini a tiva nsati wa yena	Cain knew his wife
hiloko nsati wa yena a tika	and she conceived and bore Enoch
a veleka Enoko	When he built a city
kutani Kayini a aka muti	he called the name of the city after the name of his son
a wu thya vito ra n'wana wa yena Enoko	Enoch
Kutani Enoko a veleka Irada	To Enoch was born Irad
Irada a veleka Mehuyaele	and Irad fathered Mehujael
Mehuyaele a veleka Metuxaele	and Mehujael fathered Methushael
Metuxaele a veleka Lameke	and Methushael fathered Lamech
Kutani Ada a veleka Yabala	Adah bore Jabal
tata wa vafuwi lava tshamaka emintsongeni	he was the father of those who dwell in tents and have livestock
Makwavo wa Yabala a a ri Yubala	His brother's name was Jubal
tata wa hinkwavo lava chayaka switende ni tinanga	he was the father of all those who play the lyre and pipe
Sila a veleka Tubala-Kayini	Zillah also bore Tubal-cain
mufuri wa switirho hinkwaswo swa koporo ni swa nsimbhi	he was the forger of all instruments of bronze and iron
Makwavo wa xisati wa Tubala-Kayini a a ri Naama	The sister of Tubal-cain was Naamah
Kutani Adamu a tlhela a tiva nsati wa yena	And Adam knew his wife again
kutani nsati wa yena a veleka n'wana wa mufana	and she bore a son and called his name Seth
a n'wi thya vito ra Seta	for she said
hikuva a a ku	God has appointed for me another offspring instead of Abel
Xikwembu xi ndzi nyikile n'wana un'wana ku siva Avele loyi a dlayeke hi Kayini	for Cain killed him
Lowu i nongonoko wa va ka Adamu	This is the book of the generations of Adam
Loko Xikwembu xi tumbuluxa munhu	When God created man
xi n'wi endlile a fana na xona	he made him in the likeness of God
Loko Seta a ri ni malembe ya 105	When Seth had lived 105 years
a veleka Enosi	he fathered Enosh
Loko Enosi a ri ni malembe ya 90	When Enosh had lived 90 years
a veleka Kenani	he fathered Kenan
Loko Kenani a ri ni malembe ya 70	When Kenan had lived 70 years
a veleka Mahalalele	he fathered Mahalalel
Loko Mahalalele a ri ni malembe ya 65	When Mahalalel had lived 65 years
a veleka Yarede	he fathered Jared
Loko Yarede a ri ni malembe ya 162	When Jared had lived 162 years
a veleka Enoko	he fathered Enoch
Loko Enoko a ri ni malembe ya 65	When Enoch had lived 65 years
a veleka Metuxela	he fathered Methuselah
Malembe ya Enoko hinkwawo ma vile 365	Thus all the days of Enoch were 365 years
Enoko ú hanyile a ri ni xinakulobye na Xikwembu	Enoch walked with God
kutani a nyamalala	and he was not
hikuva Xikwembu a xi n'wi tekile	for God took him
Loko Metuxela a ri ni malembe ya 187	When Methuselah had lived 187 years
a veleka Lameke	he fathered Lamech
Loko Lameke a ri ni malembe ya 182	When Lamech had lived 182 years
a veleka n'wana wa mufana	he fathered a son
kutani a n'wi thya vito ra Nowa	and called his name Noah
hikuva a a ku	saying
N'wana loyi ú ta hi tiyisa	Out of the ground that the LORD has cursed
emintirhweni ya hina leyo karhata leyi hi vangeriweke yona hileswi misava yi rhuketeriweke hi HOSI	this one shall bring us relief from our work and from the painful toil of our hands
Endzhaku ka loko Nowa a ri ni malembe ya 500	After Noah was 500 years old
a veleka Xeme	Noah fathered Shem
na Hamu	Ham
na Yafeta	and Japheth
Kutani swivumbiwa swa le tilweni swi vona leswaku vanhwanyana lava va sasekile	the sons of God saw that the daughters of man were attractive
kutani swi tihlawulela vasati exikarhi ka vona	And they took as their wives any they chose
Kutani HOSI Xikwembu xi ku	Then the LORD said
Moya wa mina a wu nga ha tshami hilaha ku nga heriki eka munhu	My Spirit shall not abide in man forever
hikuva munhu ú tsanile	for he is flesh
kutani ú ta hanya ntsena malembe ya 120	his days shall be 120 years
Enkarhini wolowo	The Nephilim were on the earth in those days
ni le minkarhini leyi landzeleke	and also afterward
ku vile ni swihontlovila leswi velekiweke loko tintsumi ta le tilweni ti hlanganile ni vanhwanyana va laha misaveni	when the sons of God came in to the daughters of man and they bore children to them
Swihontlovila leswi	These were the mighty men who were of old
hi tona tinhenha ta khale to tiveka ngopfu	the men of renown
Kambe Nowa yena a a tsakeriwa hi HOSI Xikwembu	But Noah found favor in the eyes of the LORD
Leti i timhaka ta va ka Nowa	These are the generations of Noah
Nowa a a ri munhu wo lulama	Noah was a righteous man
loyi a a tsakisa Xikwembu ku tlula vanhu hinkwavo lava a va ri kona emisaveni	blameless in his generation
naswona a a ri ni xinakulobye ni Xikwembu	Noah walked with God
Ngalava yi fanele ku va ni mimpimo leyi	This is how you are to make it
150 m ku leha	the length of the ark 300 cubits
25 m ku anama	its breadth 50 cubits
ni 15 m ku ya ehenhla	and its height 30 cubits
Endla lwangu ra yona	Make a roof for the ark
u siya 50 cm exikarhi ka lwangu na khumbi	and finish it to a cubit above
u vekela ni rivanti hala tlhelo ka yona	and set the door of the ark in its side
ngalava ya kona u yi endla yi va ni tindlu ta le hansi	Make it with lower
ni ta le xikarhi	second
ni ta le henhla	and third decks
Sweswi ndzi lava ku rhumela ndhambi ya mati	For behold
yi ta herisa swivumbiwa hinkwaswo leswi hanyaka emisaveni	I will bring a flood of waters upon the earth to destroy all flesh in which is the breath of life under heaven
Swilo hinkwaswo leswi nga laha misaveni swi ta fa	Everything that is on the earth shall die
Exikarhi ka tinyanyana hinkwato	Of the birds according to their kinds
ni swiharhi hinkwaswo	and of the animals according to their kinds
ni swikokovi hinkwaswo	of every creeping thing of the ground
u ta nghena ni swimbirhi swa rixaka rin'wana ni rin'wana	according to its kind
leswaku na swona swi ta pona	two of every sort shall come in to you to keep them alive
U fanele ku teka ni swakudya hi tinxaka-xaka ta swona	Also take with you every sort of food that is eaten
