Eku sunguleni, Xikwembu xi tumbuluxile tilo ni misava.	In the beginning, God created the heavens and the earth.
Lowa mativula a kuma n'wana wa mufana, kutani a n'wi thya vito ra Mowabu; hi yena tata wa Vamowabu lava nga kona ni namuntlha.	The firstborn bore a son and called his name Moab. He is the father of the Moabites to this day.
Lontsongo na yena a kuma n'wana wa mufana, kutani a n'wi thya vito ra Benami; hi yena tata wa Vaamori lava nga kona ni namuntlha.	The younger also bore a son and called his name Ben-ammi. He is the father of the Ammonites to this day.
Ku suka kwalaho, Abrahama a famba a kongoma ematlhelweni ya le dzongeni, a ya fika a luvela emutini wa Gerara, exikarhi ka Kadexe na Xuru, a tshama kona.	From there Abraham journeyed toward the territory of the Negeb and lived between Kadesh and Shur; and he sojourned in Gerar.
Kutani Abrahama a byela vanhu leswaku Sara nsati wa yena i makwavo wa yena; hiloko Abimeleke hosi ya muti wa Gerara a rhuma vanhu va ya teka Sara.	And Abraham said of Sarah his wife, She is my sister. And Abimelech king of Gerar sent and took Sarah.
Kambe nivusiku, Xikwembu xi ta eka Abimeleke hi norho, xi ku: Wena, u ta fa, hikwalaho ka wansati loyi u n'wi tekeke, hikuva i nsati wa munhu.	But God came to Abimelech in a dream by night and said to him, Behold, you are a dead man because of the woman whom you have taken, for she is a man's wife.
Abimeleke a a nga si tshinela eka Sara; hiloko a ku: We n'wini wanga, xana u ngo dlaya vanhu lava nga riki na nandzu xana?	Now Abimelech had not approached her. So he said, Lord, will you kill an innocent people?
Abrahama ú vule hi yexe a ku: ‘Loyi i makwerhu.’ Kasi na yena wansati ú vule hi nomo wa yena a ku: ‘Loyi i makwerhu.’ Mhaka leyi, ndzi yi endlile ndzi ntshunxekile embilwini, ndzi nga voni nchumu xo biha eka yona.	Did he not himself say to me, 'She is my sister'? And she herself said, 'He is my brother.' In the integrity of my heart and the innocence of my hands I have done this.
Hiloko Xikwembu xi vulavula na yena enorhweni xi ku: Kunene wa vurisa; ndza swi tiva leswaku u endlile mhaka leyi hi mbilu yo ntshunxeka, hikokwalaho ndzi endleke leswaku u nga ndzi dyoheli. Hi mina ndzi ku siveleke ku khumba wansati loyi.	Then God said to him in the dream, Yes, I know that you have done this in the integrity of your heart, and it was I who kept you from sinning against me. Therefore I did not let you touch her.
Kutani sweswi, tlherisela wansati loyi eka nuna wa yena, hikuva wanuna loyi i muprofeta, ú ta ku khongelela u hanya, kambe loko u nga tlherisi wansati loyi, swi tive leswaku u ta fa hakunene, wena ni va ka n'wina hinkwavo.	Now then, return the man's wife, for he is a prophet, so that he will pray for you, and you shall live. But if you do not return her, know that you shall surely die, you and all who are yours.
Kutani Abimeleke a pfuka nimpundzu swinene, a vitana malandza ya yena hinkwawo, a ma vikela swilo hinkwaswo leswi humeleleke; kutani vavanuna lava va khomiwa hi ku chava lokukulu.	So Abimelech rose early in the morning and called all his servants and told them all these things. And the men were very much afraid.
Kwalaho Abimeleke a vitana Abrahama a ku: Xana i mhaka muni leyi u hi vangeleke yona xana? Xana ndzi ku dyohele yini, lero kala u ndzi vangela xidyoho lexikulu, mina ni tiko ra mina xana? Mhaka leyi u ndzi endleleke yona, a yi nga fanelanga ku va yi endlekile.	Then Abimelech called Abraham and said to him, What have you done to us? And how have I sinned against you, that you have brought on me and my kingdom a great sin? You have done to me things that ought not to be done.
Kutani Abimeleke a vutisa Abrahama a ku: Xana a wu ehleketa yini loko u endla mhaka leyi xana?	And Abimelech said to Abraham, What did you see, that you did this thing?
Abrahama a ku: Loko ndzi endla mhaka leyi, a ndzi ehleketa leswaku endhawini leyi ku ta va ku ri hava na munhu na un'we loyi a chavaka Xikwembu, kutani a ndzi anakanya leswaku vanhu va kona va nga ndzi dlaya hikwalaho ka nsati wa mina.	Abraham said, I did it because I thought, 'There is no fear of God at all in this place, and they will kill me because of my wife.'
Kasi nakona, loyi wo va makwerhu hakunene; hi lo hambana ntsena hi vamanana, tatana i un'we; kambe sweswi i nsati wa mina.	Besides, she is indeed my sister, the daughter of my father though not the daughter of my mother, and she became my wife.
Loko Xikwembu xi ndzi susa emutini wa tatana ndzi famba ndzi tsendzeleka, ndzi te ka nsati: ‘Xilo lexi ndzi kombelaka leswaku u ndzi pfuna ha xona hi lexi: Endhawini yin'wana ni yin'wana leyi hi fikaka eka yona, va byele leswaku u makwerhu!’ 	And when God caused me to wander from my father's house, I said to her, 'This is the kindness you must do me: at every place to which we come, say of me, He is my brother.'
Kutani Abimeleke a teka tinyimpfu, ni tihomu, ni mahlonga ya xinuna ni ya xisati, a nyika Abrahama; a n'wi tlherisela na Sara nsati wa yena.	Then Abimelech took sheep and oxen, and male servants and female servants, and gave them to Abraham, and returned Sarah his wife to him.
Kutani Abimeleke a ku: Loko ri ri tiko ra mina, hi reri u ri vonaka; tiakele laha u ku rhandzaka.	And Abimelech said, Behold, my land is before you; dwell where it pleases you.
Kutani Abimeleke a ku ka Sara: Ndzi nyikile makwenu mali ya tisilivhere ta 1 000; leswi swi ta va xikombiso eka vanhu hinkwavo lava u nga na vona, leswaku a wu na nandzu, naswona u lulamile emahlweni ka munhu un'wana ni un'wana.	To Sarah he said, Behold, I have given your brother a thousand pieces of silver. It is a sign of your innocence in the eyes of all who are with you, and before everyone you are vindicated.
Hiloko Abrahama a khongela Xikwembu, kutani xona xi horisa Abimeleke ni nsati wa yena, ni mahlonga ya yena ya xisati, leswaku va kota ku kuma vana	Then Abraham prayed to God, and God healed Abimelech, and also healed his wife and female slaves so that they bore children.
hikuva va ka Abimeleke hinkwavo HOSI Xikwembu a xi va pfarile mbeleko hikokwalaho ka Sara nkata Abrahama.	For the LORD had closed all the wombs of the house of Abimelech because of Sarah, Abraham's wife.
HOSI Xikwembu xi katekisa Sara hilaha xi vuleke hakona, xi n'wi endlela leswi xi n'wi tshembiseke swona.	The LORD visited Sarah as he had said, and the LORD did to Sarah as he had promised.
Kutani eku dyuhaleni ka Abrahama, Sara a tika, a n'wi velekela n'wana wa mufana hi nkarhi lowu Xikwembu xi wu tiviseke Abrahama.	And Sarah conceived and bore Abraham a son in his old age at the time of which God had spoken to him.
Kutani Abrahama a thya n'wana loyi Sara a n'wi velekeleke yena evito ra Isaka.	Abraham called the name of his son who was born to him, whom Sarah bore him, Isaac.
Loko Isaka a ri ni masiku ya 8, tata wa yena Abrahama a n'wi yimbisa, hi ku landza xileriso xa Xikwembu.	And Abraham circumcised his son Isaac when he was eight days old, as God had commanded him.
Abrahama a a ri ni malembe ya dzana loko Isaka n'wana wa yena a velekiwa.	Abraham was a hundred years old when his son Isaac was born to him.
Kutani Sara a ku: Xikwembu xi ndzi nyikile nkarhi wa ku hleka, kutani un'wana ni un'wana loyi a nga ta swi twa, ú ta hleka na mina.	And Sarah said, God has made laughter for me; everyone who hears will laugh over me.
Sara a ya emahlweni a ku: I mani loyi a a ta khorwisa Abrahama leswaku siku rin'wana mina Sara ndzi ta mamisa vana xana? Hi leswi, eku dyuhaleni ka yena ndzi n'wi velekerile n'wana wa mufana!	And she said, Who would have said to Abraham that Sarah would nurse children? Yet I have borne him a son in his old age.
Loko Isaka a kurile, a lumuriwa. Hi siku ra ku lumuriwa ka yena, Abrahama a endla nkhuvo lowukulu.	And the child grew and was weaned. And Abraham made a great feast on the day that Isaac was weaned.
Kutani Sara a vona Iximaele n'wana Hagara lowa Muegipta na Abrahama, a ri karhi a tlanga na Isaka n'wana wa yena.	But Sarah saw the son of Hagar the Egyptian, whom she had borne to Abraham, laughing.
Hiloko Sara a ku ka Abrahama: Hlongola wansati loyi wa hlonga ni n'wana wa yena, hikuva a ndzi lavi leswaku n'wana wa yena a dya ndzhaka swin'we na Isaka n'wananga.	So she said to Abraham, Cast out this slave woman with her son, for the son of this slave woman shall not be heir with my son Isaac.
Mhaka leyi, Abrahama yi n'wi khunguvanyisile ngopfu, loko a ehleketa Iximaele n'wana wa yena.	And the thing was very displeasing to Abraham on account of his son.
Kambe Xikwembu xi ku ka Abrahama: U nga tshuki u khunguvanyeka hikwalaho ka n'wana wa wena ni wansati lowa hlonga ra wena; endla xin'wana ni xin'wana lexi Sara a ku byelaka xona, hikuva Isaka hi yena a nga ta yisa vito ra wena emahlweni.	But God said to Abraham, Be not displeased because of the boy and because of your slave woman. Whatever Sarah says to you, do as she tells you, for through Isaac shall your offspring be named.
Loko a ri Iximaele n'wana wa wansati lowa hlonga, ndzi ta n'wi endla tiko lerikulu hikuva na yena i n'wana wa wena.	And I will make a nation of the son of the slave woman also, because he is your offspring.
Hiloko Abrahama a pfuka nimpundzu swinene, a teka xinkwa ni gula ra mati a rhwexa Hagara, a n'wi beburisa ni n'wana, kutani a n'wi hlongola. Hiloko Hagara a suka a famba a ya tsendzeleka emananga ya Berexeba.	So Abraham rose early in the morning and took bread and a skin of water and gave it to Hagar, putting it on her shoulder, along with the child, and sent her away. And she departed and wandered in the wilderness of Beersheba.
Kuteloko mati ma herile eguleni, Hagara o teka n'wana wa yena a ya n'wi veka ehansi ka ximudyana xin'wana.	When the water in the skin was gone, she put the child under one of the bushes.
Kutani a suka laha a ku ri na n'wana a famba mpfhukanyana, a ya fika a tshama ehansi, hikuva a a ku: A ndzi lavi ku vona ku fa ka n'wananga. Kuteloko Hagara a ri kwale kule, n'wana a sungula ku rila.	Then she went and sat down opposite him a good way off, about the distance of a bowshot, for she said, Let me not look on the death of the child. And as she sat opposite him, she lifted up her voice and wept.
Xirilo xa xifanyetana lexi xi fikile etindleveni ta Xikwembu, kutani ntsumi ya Xikwembu yi huwelela Hagara yi ri etilweni, yi ku ka yena: Hagara, u karhata hi yini xana? U nga chavi hikuva Xikwembu xi twile xirilo xa xifanyetana kwale hansi ka ximudyana.	And God heard the voice of the boy, and the angel of God called to Hagar from heaven and said to her, What troubles you, Hagar? Fear not, for God has heard the voice of the boy where he is.
Suka u yima u ya tlakula xifanyetana, u nga xi tshiki, hikuva ndzi ta xi endla tiko lerikulu.	Up! Lift up the boy, and hold him fast with your hand, for I will make him into a great nation.
Kutani Xikwembu xi pfula Hagara mahlo, a vona xihlovo; hiloko a tata gula ra yena hi mati, a nyika ni xifanyetana xi nwa.	Then God opened her eyes, and she saw a well of water. And she went and filled the skin with water and gave the boy a drink.
Xikwembu xi va ni n'wana loyi, kutani a tikulela, a tshama emananga, a tiva swinene ku copa hi nseve.	And God was with the boy, and he grew up. He lived in the wilderness and became an expert with the bow.
A a tshama emananga ya Parani; kutani mana wa yena a ya n'wi tekela nsati etikweni ra Egipta.	He lived in the wilderness of Paran, and his mother took a wife for him from the land of Egypt.
Enkarhini wolowo, Abimeleke a ya eka Abrahama a ri na Pikolo mufambisi wa mavuthu ya yena, a fika a ku ka Abrahama: Xikwembu xi na wena eka hinkwaswo leswi u swi endlaka	At that time Abimelech and Phicol the commander of his army said to Abraham, God is with you in all that you do.
hikokwalaho, ndzi kombela leswaku u ndzi tshembisa hi ku hlambanya emahlweni ka Xikwembu leswaku u nga ka u nga ndzi kanganyisi, mina ni vana va mina kumbe vatukulu va mina; ndzi tshembise leswaku leswi ndzi kombeke ku tshembeka ka mina eka wena, na wena u ta endla tano eka mina ni tiko ra mina leri u luveleke eka rona.	Now therefore swear to me here by God that you will not deal falsely with me or with my descendants or with my posterity, but as I have dealt kindly with you, so you will deal with me and with the land where you have sojourned.
Abrahama a hlamula a ku: Ndzi ta hlambanya.	And Abraham said, I will swear.
Hiloko Abrahama a vilela eka Abimeleke hi mhaka ya xihlovo lexi malandza ya Abimeleke ma n'wi tekeleke xona.	When Abraham reproved Abimelech about a well of water that Abimelech's servants had seized
Kutani Abimeleke a hlamula a ku: A ndzi tivi leswaku i vamani va endleke mhaka leyi; hambi u ri wena a wu nga si tshama u ndzi byela mhaka leyi; mina ndzi yi twa ro sungula sweswi u ndzi hlamuselaka yona namuntlha.	Abimelech said, I do not know who has done this thing; you did not tell me, and I have not heard of it until today.
Hiloko Abrahama a teka tinyimpfu ni tihomu a nyika Abimeleke; kutani vavanuna lava vambirhi va endla xinakulobye.	So Abraham took sheep and oxen and gave them to Abimelech, and the two men made a covenant.
Abrahama a hlawula swinyimpfana swa xisati swa 7 entlhambini, a swi veka etlhelo.	Abraham set seven ewe lambs of the flock apart.
Kutani Abimeleke a vutisa Abrahama a ku: Xana u kombisa yini hi swinyimpfana leswi swa xisati swa 7 leswi u swi hlawuleke u swi veka etlhelo xana?	And Abimelech said to Abraham, What is the meaning of these seven ewe lambs that you have set apart?
Abrahama a hlamula a ku: Wena amukela swinyimpfana leswi swa xisati swa 7 eka mina, leswaku u ta va mbhoni ya mina ku tiyisa leswaku hi mina ndzi celeke xihlovo lexi.	He said, These seven ewe lambs you will take from my hand, that this may be a witness for me that I dug this well.
Hikokwalaho ndhawu leyi yi thyiwile vito ra Berexeba, hikuva hi kona laha vavanuna lava vambirhi va nga hlambanya va ri kona.	Therefore that place was called Beersheba, because there both of them swore an oath.
Kutani Abrahama na Abimeleke va endla xinakulobye eBerexeba. Endzhaku ka swona, Abimeleke na Pikolo mufambisi wa mavuthu ya yena va suka va famba va tlhelela etikweni ra Vafilista.	So they made a covenant at Beersheba. Then Abimelech and Phicol the commander of his army rose up and returned to the land of the Philistines.
Kutani Abrahama a byala murhi wa tamarisiki eBerexeba, a khongelela kona HOSI, xona Xikwembu lexi nga kona hilaha ku nga heriki.	Abraham planted a tamarisk tree in Beersheba and called there on the name of the LORD, the Everlasting God.
Abrahama ú tshamile malembe yo tala etikweni ra Vafilista a ri muluveri.	And Abraham sojourned many days in the land of the Philistines.
Endzhaku ka timhaka leti, Xikwembu xi kambela Abrahama xi ku: Abrahama! Yena a hlamula a ku: Hi mina loyi.	After these things God tested Abraham and said to him, Abraham! And he said, Here I am.
Xi ku ka yena: Teka Isaka n'wana wa wena loyi a ngo va un'we, loyi naswona u n'wi rhandzaka, kutani u ya etikweni ra Moriya u ya humesa ha yena gandzelo leri hisiwaka, u ri humesela ehenhla ka ntshava leyi ndzi nga ta ku komba yona.	He said, Take your son, your only son Isaac, whom you love, and go to the land of Moriah, and offer him there as a burnt offering on one of the mountains of which I shall tell you.
Hiloko Abrahama a pfuka nimpundzu swinene, a bohelela xitshamu embhongolweni ya yena, a vita malandza ya yena mambirhi ya majaha, a teka na Isaka n'wana wa yena. Loko a tsemile tihunyi to ya hisa ha tona gandzelo, a suka a famba a kongoma endhawini leyi Xikwembu xi n'wi byeleke yona.	So Abraham rose early in the morning, saddled his donkey, and took two of his young men with him, and his son Isaac. And he cut the wood for the burnt offering and arose and went to the place of which God had told him.
Hi siku ra vunharhu, Abrahama ú te a tlukusa mahlo, o vona ndhawu ya kona ya ha ri kulenyana.	On the third day Abraham lifted up his eyes and saw the place from afar.
Kutani a ku ka malandza ya yena: Salani mi tshamile kwala ni mbhongolo leyi; mina ni jaha leri ha ha ya endhawini liya hi ya gandzela, hi ta vuya hi mi kuma kwala.	Then Abraham said to his young men, Stay here with the donkey; I and the boy will go over there and worship and come again to you.
Kutani Abrahama a teka tihunyi to hisa ha tona gandzelo a rhwexa n'wana wa yena Isaka, yena a khoma ndzilo ni mukwana, kutani va suka va famba swin'we.	And Abraham took the wood of the burnt offering and laid it on Isaac his son. And he took in his hand the fire and the knife. So they went both of them together.
Hiloko Isaka a ku ka tata wa yena: Tatana! Yena a ku: Hi mina loyi n'wananga. Isaka a ku: Ndzilo ni tihunyi hi leswi, kambe xinyimpfana xa gandzelo leri hisiwaka xi kwihi xana?	And Isaac said to his father Abraham, My father! And he said, Here I am, my son. He said, Behold, the fire and the wood, but where is the lamb for a burnt offering?
Abrahama a hlamula a ku: N'wananga, loko swi ri swa xinyimpfana xa gandzelo leri hisiwaka, swi ta vona hi Xikwembu. Kutani va ya emahlweni va famba swin'we.	Abraham said, God will provide for himself the lamb for a burnt offering, my son. So they went both of them together.
Loko va fika endhawini leyi Xikwembu xi n'wi byeleke yona, Abrahama a aka alitari, a veketela tihunyi ehenhla ka yona, kutani a boha n'wana wa yena Isaka, a n'wi tlhandleka alitarini ehenhla ka tihunyi.	When they came to the place of which God had told him, Abraham built the altar there and laid the wood in order and bound Isaac his son and laid him on the altar, on top of the wood.
Kutani Abrahama a teka mukwana a lava ku dlaya n'wana wa yena ha wona.	Then Abraham reached out his hand and took the knife to slaughter his son.
Kambe ntsumi ya HOSI Xikwembu yi n'wi vitana yi ri etilweni yi ku: Abrahama! Abrahama! Yena a pfumela a ku: Hi mina loyi.	But the angel of the LORD called to him from heaven and said, Abraham, Abraham! And he said, Here I am.
Yi ku ka yena: N'wana yoloye u nga tshuki u n'wi endla nchumu, ni ku n'wi khumba u nga n'wi khumbi. Sweswi ndza swi tiva leswaku wa xi chava Xikwembu, hikuva a wu alanga ku xi nyika n'wana wa wena loyi a ngo va un'we.	He said, Do not lay your hand on the boy or do anything to him, for now I know that you fear God, seeing you have not withheld your son, your only son, from me.
Abrahama a tlakusa mahlo, kutani a vona nyimpfu ya khuna yi phasiwile timhondzo hi xihlahla. Kutani Abrahama a ya yi teka a humesa ha yona gandzelo leri hisiwaka, ematshan'weni ya n'wana wa yena.	And Abraham lifted up his eyes and looked, and behold, behind him was a ram, caught in a thicket by his horns. And Abraham went and took the ram and offered it up as a burnt offering instead of his son.
Kutani Abrahama a thya ndhawu leyi vito ra HOSI-yita-swi-vona; ni namuntlha vanhu va ha vula va ku: Entshaveni ya HOSI, swi ta voniwa.	So Abraham called the name of that place, The LORD will provide; as it is said to this day, On the mount of the LORD it shall be provided.
Kutani ntsumi ya HOSI Xikwembu yi vitana Abrahama ra vumbirhi yi ri etilweni	And the angel of the LORD called to Abraham a second time from heaven
yi ku: HOSI yi ri: ‘Ndza hlambanya mina hi xiviri hikwalaho ka leswi u swi endleke: A wu alanga na n'wana wa wena loyi a ngo va un'we.	and said, By myself I have sworn, declares the LORD, because you have done this and have not withheld your son, your only son
Hikokwalaho, ndzi ta ku katekisa, ndzi ku nyika vatukulu lavo tala ku fana ni tinyeleti etilweni ni sava eribuweni ra lwandle, va ta hlula ni valala va vona.	I will surely bless you, and I will surely multiply your offspring as the stars of heaven and as the sand that is on the seashore. And your offspring shall possess the gate of his enemies
Kutani vanhu hinkwavo laha misaveni va ta katekisiwa hikwalaho ka vatukulu va wena, hikuva wena u yingisile rito ra mina.’ 	and in your offspring shall all the nations of the earth be blessed, because you have obeyed my voice.
Kutani Abrahama a tlhelela laha malandza ya yena a ma ri kona, va suka va famba swin'we va kongoma eBerexeba, laha Abrahama a a tshama kona.	So Abraham returned to his young men, and they arose and went together to Beersheba. And Abraham lived at Beersheba.
Endzhaku ka timhaka leti, Abrahama a twa leswaku makwavo wa yena Nahoro ú velekeriwile vana hi nsati wa yena Milika, va nga lava	Now after these things it was told to Abraham, Behold, Milcah also has borne children to your brother Nahor
Usi, mativula ya kona, na Buzi, na Kemuwele tata wa Aramu	Uz his firstborn, Buz his brother, Kemuel the father of Aram
na Kesede, na Hazo, na Pilidaxi, na Yidilafu, na Betuwele	Chesed, Hazo, Pildash, Jidlaph, and Bethuel.
tata wa Rhaveka. Vana lava va 8, Milika ú va velekerile Nahoro makwavo wa Abrahama.	(Bethuel fathered Rebekah.) These eight Milcah bore to Nahor, Abraham's brother.
Kasi Rhewuna, nsati lontsongo wa Nahoro, ú n'wi velekerile Taba, na Gahamu, na Tahaxi, na Maaka.	Moreover, his concubine, whose name was Reumah, bore Tebah, Gaham, Tahash, and Maacah.
Sara ú hanyile malembe ya 127	Sarah lived 127 years; these were the years of the life of Sarah.
kutani a lovela emutini wa Kiriyata-Araba (hileswaku Hebroni) etikweni ra Kanana. Abrahama a ya a ya rila nkosi wa Sara	And Sarah died at Kiriath-arba (that is, Hebron) in the land of Canaan, and Abraham went in to mourn for Sarah and to weep for her.
kutani a suka laha a ku ri na mufi a ya eka Vahiti, a fika a ku	And Abraham rose up from before his dead and said to the Hittites
Mina ndzi munhu wa le handle loyi a luveleke exikarhi ka n'wina; kutani sweswi ndzi kombela leswaku mi ndzi nyika ndhawu leyi yi nga ta va ya mina yo lahlela eka yona, leswaku ndzi ta lahla mufi wa mina ndzi hambana na yena.	I am a sojourner and foreigner among you; give me property among you for a burying place, that I may bury my dead out of my sight.
Vahiti va hlamula Abrahama va ku	The Hittites answered Abraham
Yingisa hi ku byela, we n'wini wa hina; exikarhi ka hina, wena u munhu wo chaviseka! Loko ku ri ku lahla mufi wa wena, hlawula sirha leri sasekeke ngopfu exikarhi ka masirha ya hina hinkwawo. A ku na munhu na un'we exikarhi ka hina loyi a nga alaka ku ku nyika sirha ra yena, kumbe loyi a nga ku sivelaka ku lahla mufi wa wena.	Hear us, my lord; you are a prince of God among us. Bury your dead in the choicest of our tombs. None of us will withhold from you his tomb to hinder you from burying your dead.
Hiloko Abrahama a suka a yima, a korhama emahlweni ka Vahiti, vona vinyi va tiko	Abraham rose and bowed to the Hittites, the people of the land.
a ku ka vona: Loko hakunene mi swi tsakela leswaku ndzi lahla mufi wa mina ndzi hambana na yena, ndzi pfuneni, mi ya ndzi vulavulela na Efroni n'wana Sohara	And he said to them, If you are willing that I should bury my dead out of my sight, hear me and entreat for me Ephron the son of Zohar
leswaku a ndzi nyika bako ra Makapela, leri ri nga ra yena; ri le makumu ka nsimu ya yena. Mi n'wi kombela leswaku a ndzi nyika rona ni ku ndzi byela nxavo wa rona hinkwawo emahlweni ka n'wina, leswaku ri ta va ndhawu ya mina yo lahlela eka yona.	that he may give me the cave of Machpelah, which he owns; it is at the end of his field. For the full price let him give it to me in your presence as property for a burying place.
Efroni a a tshamile exikarhi ka Vahiti lava. Hiloko Efroni loyi wa Muhiti a hlamula Abrahama, hinkwavo lava a va hlengeletanile enyangweni ya muti va ri karhi va swi twa, a ku	Now Ephron was sitting among the Hittites, and Ephron the Hittite answered Abraham in the hearing of the Hittites, of all who went in at the gate of his city
E-e, n'wini wanga, yingisa ndzi ku byela; mina ndzi ku nyika nsimu, ku katsa ni bako leri nga ka yona; ndzi ku nyika yona emahlweni ka vanhu va ka hina; yana u ya lahla mufi wa wena kona.	No, my lord, hear me: I give you the field, and I give you the cave that is in it. In the sight of the sons of my people I give it to you. Bury your dead.
Hiloko Abrahama a korhama emahlweni ka vinyi va tiko	Then Abraham bowed down before the people of the land.
a byela Efroni va ri karhi va swi twa a ku: Ndzi kombela leswaku u ndzi lombanyana tindleve; mina ndzi lava ku humesa nxavo wa nsimu leyi, ndzi ku nyika wona; wu amukele leswaku ndzi ta lahla mufi wa mina ensin'wini leyi.	And he said to Ephron in the hearing of the people of the land, But if you will, hear me: I give the price of the field. Accept it from me, that I may bury my dead there.
Efroni a hlamula Abrahama a ku	Ephron answered Abraham
E-e, yingisa n'wini wanga; xana hi nga phikisana hi nsimu leyi vitanaka tisilivhere ta 400 ntsena ke? Lahla mufi wa wena eka yona!	My lord, listen to me: a piece of land worth four hundred shekels of silver, what is that between you and me? Bury your dead.
Hiloko Abrahama a nkhenselana na Efroni, a n'wi pimela tisilivhere leti a ti vuleke emahlweni ka Vahiti, ti nga tisilivhere ta 400 hi ku landza mpimo lowu vekiweke hi vamabindzu.	Abraham listened to Ephron, and Abraham weighed out for Ephron the silver that he had named in the hearing of the Hittites, four hundred shekels of silver, according to the weights current among the merchants.
Hi ndlela leyi, ndhawu hinkwayo leyi yi nga eMakapela evuxeni bya Mamre, yi nga nsimu ya Efroni, ni bako leri nga ka yona, ni mirhi hinkwayo leyi mileke matlhelo hinkwawo ya nsimu leyi	So the field of Ephron in Machpelah, which was to the east of Mamre, the field with the cave that was in it and all the trees that were in the field, throughout its whole area, was made over
swi nyikiwa Abrahama emahlweni ka Vahiti hinkwavo lava a va ri enyangweni ya muti, leswaku swi ta va swa yena.	to Abraham as a possession in the presence of the Hittites, before all who went in at the gate of his city.
Endzhaku ka sweswo, Abrahama a lahla nsati wa yena Sara ebakweni leri nga nsin'wini ya le Makapela, evuxeni bya muti wa Mamre (hileswaku Hebroni), etikweni ra Kanana.	After this, Abraham buried Sarah his wife in the cave of the field of Machpelah east of Mamre (that is, Hebron) in the land of Canaan.
Hi mukhuva lowu, Vahiti va nyika Abrahama nsimu leyi ni bako ra yona leswaku yi va ndhawu ya yena yo lahlela eka yona.	The field and the cave that is in it were made over to Abraham as property for a burying place by the Hittites.
Enkarhini lowu, Abrahama a a dyuhele swinene, naswona eka hinkwaswo, HOSI Xikwembu a xi n'wi katekisile.	Now Abraham was old, well advanced in years. And the LORD had blessed Abraham in all things.
Kutani Abrahama a byela nandza wa yena lonkulu, loyi a a hlayisa swilo swa yena hinkwaswo, a ku: Vekela voko ra wena exikarhi ka milenge ya mina	And Abraham said to his servant, the oldest of his household, who had charge of all that he had, Put your hand under my thigh
kutani ndzi ta ku hlambanyisa emahlweni ka HOSI Xikwembu xa matilo ni misava, leswaku u nge tshuki u laverile n'wananga ensati exikarhi ka vanhwanyana va Vakanana lava ndzi tshamaka etikweni ra vona	that I may make you swear by the LORD, the God of heaven and God of the earth, that you will not take a wife for my son from the daughters of the Canaanites, among whom I dwell
kambe u ta ya lavela Isaka n'wananga ensati exikarhi ka va ka hina etikweni ra rikwerhu.	but will go to my country and to my kindred, and take a wife for my son Isaac.
Kutani nandza a ku: Loko nhwana wa kona a nga swi tsakeli ku vuya na mina etikweni leri, xana ndzi fanele ku teka n'wana wa wena ndzi n'wi tlherisela etikweni leri u humaka eka rona xana?	The servant said to him, Perhaps the woman may not be willing to follow me to this land. Must I then take your son back to the land from which you came?
Kutani Abrahama a n'wi hlamula a ku: U nga tshuki u tlherisela n'wananga etikweni leriya ni siku ni rin'we!	Abraham said to him, See to it that you do not take my son back there.
HOSI Xikwembu xa matilo, xona lexi xi ndzi tekeke emutini wa tatana ni ku ndzi humesa etikweni ra rikwerhu, xi ndzi tshembisile hi ku hlambanya leswaku tiko leri xi ta ri nyika vatukulu va mina. Hikokwalaho xi ta rhumela ntsumi emahlweni ka wena, kutani wena u ta ya tekela n'wananga ensati etikweni leriya.	The LORD, the God of heaven, who took me from my father's house and from the land of my kindred, and who spoke to me and swore to me, 'To your offspring I will give this land,' he will send his angel before you, and you shall take a wife for my son from there.
Kambe loko nhwana wa kona a nga swi tsakeli ku vuya na wena, u ta va u ntshunxekile eka leswi ndzi nga ku hlambanyisa swona; kambe n'wananga yena, u nga tshuki u n'wi tlherisela etikweni leriya!	But if the woman is not willing to follow you, then you will be free from this oath of mine; only you must not take my son back there.
Kutani nandza a vekela voko ra yena exikarhi ka milenge ya n'wini wa yena Abrahama, a tiyisa mhaka leyi hi ku hlambanya.	So the servant put his hand under the thigh of Abraham his master and swore to him concerning this matter.
Kutani nandza a pambula tikamela ta khume ta n'wini wa yena, a longa ni tinyiko to saseka to hambana-hambana to huma eka n'wini wa yena, a khoma ndlela a kongoma emutini wa Nahoro etikweni ra Mesopotamiya.	Then the servant took ten of his master's camels and departed, taking all sorts of choice gifts from his master; and he arose and went to Mesopotamia to the city of Nahor.
Loko dyambu ri ya eku peleni, hi nkarhi lowu vavasati va humaka va ya ematini ha wona, nandza a fika kusuhi ni xihlovo lexi nga handlenyana ka muti, a etlerisa tikamela kona.	And he made the camels kneel down outside the city by the well of water at the time of evening, the time when women go out to draw water.
Kutani a khongela a ku: We HOSI, wena Xikwembu xa n'wini wa mina Abrahama, ndzi kombela leswaku u ndzi humelerisa namuntlha, u komba ku tshembeka ka wena eka n'wini wa mina Abrahama.	And he said, O LORD, God of my master Abraham, please grant me success today and show steadfast love to my master Abraham.
Vona, ndzi yimile kusuhi ni xihlovo xa mati, sweswi vanhwana va muti lowu va ta huma va ta eku keni ka mati.	Behold, I am standing by the spring of water, and the daughters of the men of the city are coming out to draw water.
